premise,hypothesis,label
Service Type: Next Day Air,This example is about ProductType,entailment
Package Weight: 76.04 KG,This example is about Origin,contradiction
Service Type: Economy,This example is about Origin,contradiction
Number of Packages: 5,This example is about TotalPackages,entailment
Package Volume: 0.68 m³,This example is about Destination,contradiction
"Origin: New York, FR",This example is about Origin,entailment
Service Type: Same Day,This example is about ProductType,entailment
Service Type: Same Day,This example is about Timestamp,contradiction
Number of Packages: 9,This example is about TotalPackages,entailment
Number of Packages: 10,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2024-12-18 22:40:40,This example is about ProductType,contradiction
Package Volume: 0.631 m³,This example is about Origin,contradiction
"Origin: Mumbai, GB",This example is about Origin,entailment
"Origin: New York, AU",This example is about Origin,entailment
Service Type: 2nd Day Air,This example is about ProductType,entailment
"Destination: Toronto, FR",This example is about Destination,entailment
"Destination: Dubai, FR",This example is about Destination,entailment
Package Weight: 4.78 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2024-03-03 20:55:23,This example is about DateAndTimes,entailment
Package Volume: 0.428 m³,This example is about TotalVolume,entailment
Service Type: 2nd Day Air,This example is about Timestamp,contradiction
Number of Packages: 9,This example is about TotalPackages,entailment
Service Type: Standard,This example is about ProductType,entailment
Scheduled DateAndTimes: 2023-04-28 01:14:42,This example is about Destination,contradiction
Shipment ID: UPS434090235572,This example is about HousebillNumber,entailment
"Origin: London, DE",This example is about Origin,entailment
Service Type: Express,This example is about HousebillNumber,contradiction
"Origin: Berlin, US",This example is about Origin,entailment
Package Weight: 65.31 KG,This example is about TotalWeight,entailment
Number of Packages: 7,This example is about Destination,contradiction
Package Weight: 6.37 KG,This example is about Origin,contradiction
Shipment ID: UPS823961927609,This example is about HousebillNumber,entailment
Service Type: Same Day,This example is about DateAndTimes,contradiction
Scheduled DateAndTimes: 2023-09-11 03:16:02,This example is about HousebillNumber,contradiction
Package Volume: 0.825 m³,This example is about TotalWeight,contradiction
Shipment Status: In transit at 2024-07-15 19:21:21,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2023-12-21 00:05:05,This example is about DateAndTimes,entailment
Service Type: Same Day,This example is about ProductType,entailment
"Destination: Berlin, IN",This example is about Destination,entailment
"Origin: New York, AE",This example is about Origin,entailment
Package Weight: 5.05 KG,This example is about TotalVolume,contradiction
Shipment Status: Customs clearance at 2023-07-20 09:09:47,This example is about Timestamp,entailment
Shipment Status: Arrived at facility at 2024-04-02 13:55:33,This example is about ProductType,contradiction
Scheduled DateAndTimes: 2024-05-08 00:02:12,This example is about ProductType,contradiction
Package Volume: 0.17 m³,This example is about TotalVolume,entailment
"Origin: Dubai, CN",This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2024-04-26 11:54:30,This example is about DateAndTimes,entailment
Service Type: Ground,This example is about HousebillNumber,contradiction
Service Type: Same Day,This example is about TotalPackages,contradiction
Number of Packages: 4,This example is about ProductType,contradiction
Number of Packages: 10,This example is about Destination,contradiction
Shipment Status: Exception at 2024-09-27 03:13:09,This example is about TotalPackages,contradiction
"Origin: Sydney, US",This example is about TotalPackages,contradiction
"Origin: Beijing, CA",This example is about Timestamp,contradiction
"Origin: London, CN",This example is about ProductType,contradiction
Service Type: 2nd Day Air,This example is about TotalWeight,contradiction
Shipment Status: Arrived at facility at 2024-12-29 17:11:33,This example is about Timestamp,entailment
Service Type: Next Day Air,This example is about Timestamp,contradiction
Package Weight: 44.08 KG,This example is about TotalWeight,entailment
"Origin: London, GB",This example is about Origin,entailment
Scheduled DateAndTimes: 2024-05-11 04:35:45,This example is about Destination,contradiction
"Destination: Tokyo, AU",This example is about ProductType,contradiction
Service Type: Freight,This example is about ProductType,entailment
Shipment Status: Customs clearance at 2024-03-04 09:03:10,This example is about Destination,contradiction
Shipment ID: DHL438732476512,This example is about HousebillNumber,entailment
"Destination: Mumbai, AE",This example is about Destination,entailment
Shipment Status: In transit at 2024-07-28 04:53:47,This example is about TotalWeight,contradiction
Number of Packages: 7,This example is about ProductType,contradiction
Scheduled DateAndTimes: 2024-07-02 15:05:25,This example is about TotalVolume,contradiction
Shipment ID: FDX905588065337,This example is about HousebillNumber,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Number of Packages: 6,This example is about TotalPackages,entailment
Package Weight: 53.29 KG,This example is about TotalWeight,entailment
"Destination: Tokyo, GB",This example is about Destination,entailment
Package Weight: 56.44 KG,This example is about HousebillNumber,contradiction
"Origin: New York, AE",This example is about Origin,entailment
Number of Packages: 5,This example is about DateAndTimes,contradiction
Package Volume: 0.018 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2024-03-23 05:26:06,This example is about DateAndTimes,entailment
Shipment Status: Out for delivery at 2023-05-09 22:42:04,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2024-04-14 00:08:02,This example is about Destination,contradiction
Number of Packages: 8,This example is about TotalPackages,entailment
Package Volume: 0.721 m³,This example is about DateAndTimes,contradiction
Shipment Status: Picked up at 2024-06-22 10:39:45,This example is about TotalPackages,contradiction
Package Volume: 0.372 m³,This example is about TotalVolume,entailment
Shipment Status: Out for delivery at 2023-09-02 13:39:54,This example is about Origin,contradiction
Service Type: Ground,This example is about ProductType,entailment
Package Volume: 0.651 m³,This example is about TotalVolume,entailment
Package Weight: 30.85 KG,This example is about TotalWeight,entailment
Shipment ID: FDX322926151576,This example is about HousebillNumber,entailment
"Destination: Berlin, AE",This example is about Destination,entailment
Service Type: 2nd Day Air,This example is about ProductType,entailment
Number of Packages: 10,This example is about DateAndTimes,contradiction
Shipment Status: Customs clearance at 2023-07-07 22:42:47,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2023-02-21 06:56:33,This example is about DateAndTimes,entailment
Service Type: 2nd Day Air,This example is about ProductType,entailment
Shipment Status: Departed facility at 2024-03-28 06:48:15,This example is about ProductType,contradiction
"Origin: London, US",This example is about Origin,entailment
Package Weight: 15.47 KG,This example is about DateAndTimes,contradiction
Package Weight: 51.68 KG,This example is about TotalWeight,entailment
Service Type: Economy,This example is about Destination,contradiction
Package Volume: 0.166 m³,This example is about TotalWeight,contradiction
"Origin: Mumbai, FR",This example is about Origin,entailment
Shipment ID: DHL590821792909,This example is about HousebillNumber,entailment
"Origin: Berlin, JP",This example is about Origin,entailment
Shipment ID: UPS032680657380,This example is about HousebillNumber,entailment
Number of Packages: 2,This example is about TotalPackages,entailment
Shipment Status: Customs clearance at 2024-11-05 00:04:28,This example is about Timestamp,entailment
Package Volume: 0.223 m³,This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2024-01-10 08:01:05,This example is about DateAndTimes,entailment
Package Weight: 54.9 KG,This example is about TotalVolume,contradiction
Number of Packages: 5,This example is about ProductType,contradiction
Package Weight: 13.38 KG,This example is about TotalWeight,entailment
Shipment ID: FDX326446685825,This example is about HousebillNumber,entailment
"Destination: Paris, AE",This example is about Destination,entailment
Package Weight: 58.8 KG,This example is about TotalWeight,entailment
Number of Packages: 10,This example is about HousebillNumber,contradiction
Shipment Status: Delivered at 2024-08-01 02:40:08,This example is about Timestamp,entailment
"Origin: New York, GB",This example is about Origin,entailment
Package Volume: 0.316 m³,This example is about ProductType,contradiction
Service Type: Express,This example is about ProductType,entailment
Package Volume: 0.294 m³,This example is about Timestamp,contradiction
Shipment ID: UPS789355219368,This example is about HousebillNumber,entailment
"Origin: Dubai, IN",This example is about HousebillNumber,contradiction
Service Type: Next Day Air,This example is about Destination,contradiction
Package Volume: 0.625 m³,This example is about TotalVolume,entailment
"Origin: Paris, AU",This example is about Origin,entailment
Shipment ID: 1Z720630912936,This example is about HousebillNumber,entailment
Package Weight: 59.6 KG,This example is about TotalWeight,entailment
Shipment ID: UPS890675777275,This example is about HousebillNumber,entailment
Shipment Status: Picked up at 2024-03-27 01:17:03,This example is about Timestamp,entailment
"Destination: Paris, CA",This example is about Destination,entailment
Scheduled DateAndTimes: 2024-08-21 08:10:16,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2023-11-12 12:52:01,This example is about TotalPackages,contradiction
"Origin: Tokyo, DE",This example is about ProductType,contradiction
Package Volume: 0.105 m³,This example is about TotalVolume,entailment
Package Volume: 0.907 m³,This example is about TotalVolume,entailment
"Destination: Berlin, JP",This example is about Destination,entailment
Package Weight: 15.33 KG,This example is about DateAndTimes,contradiction
"Destination: Sydney, CA",This example is about DateAndTimes,contradiction
"Origin: New York, AE",This example is about TotalPackages,contradiction
"Origin: Sydney, US",This example is about Origin,entailment
Scheduled DateAndTimes: 2023-09-29 14:14:02,This example is about Timestamp,contradiction
Shipment Status: Out for delivery at 2023-03-31 00:11:07,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2023-01-25 06:40:50,This example is about DateAndTimes,entailment
Package Weight: 97.67 KG,This example is about TotalWeight,entailment
Package Weight: 93.97 KG,This example is about TotalWeight,entailment
Number of Packages: 7,This example is about TotalPackages,entailment
"Destination: Tokyo, US",This example is about Destination,entailment
Shipment Status: Exception at 2023-07-06 00:25:33,This example is about HousebillNumber,contradiction
Package Weight: 24.06 KG,This example is about TotalWeight,entailment
Package Weight: 18.73 KG,This example is about TotalWeight,entailment
"Origin: Sydney, AE",This example is about HousebillNumber,contradiction
Shipment ID: UPS868820062049,This example is about HousebillNumber,entailment
Service Type: Freight,This example is about TotalPackages,contradiction
"Origin: Toronto, AE",This example is about TotalPackages,contradiction
Number of Packages: 1,This example is about TotalPackages,entailment
Service Type: Same Day,This example is about ProductType,entailment
"Destination: Mumbai, AU",This example is about Destination,entailment
Service Type: Economy,This example is about Timestamp,contradiction
Shipment ID: UPS871449276125,This example is about HousebillNumber,entailment
Number of Packages: 3,This example is about ProductType,contradiction
Service Type: Standard,This example is about TotalWeight,contradiction
Service Type: Express,This example is about TotalPackages,contradiction
Package Volume: 0.839 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2024-11-20 01:46:26,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2024-03-20 17:18:04,This example is about DateAndTimes,entailment
"Destination: New York, CA",This example is about TotalWeight,contradiction
Shipment ID: FDX717749116232,This example is about HousebillNumber,entailment
Package Weight: 13.07 KG,This example is about TotalWeight,entailment
"Origin: Sydney, CN",This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2024-09-30 10:13:21,This example is about DateAndTimes,entailment
Service Type: Ground,This example is about DateAndTimes,contradiction
"Destination: London, DE",This example is about Destination,entailment
"Origin: Berlin, AU",This example is about Origin,entailment
Package Weight: 15.33 KG,This example is about TotalWeight,entailment
Package Weight: 5.18 KG,This example is about Timestamp,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2024-07-15 22:25:43,This example is about DateAndTimes,entailment
Number of Packages: 9,This example is about TotalVolume,contradiction
"Destination: Berlin, CN",This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-03-07 01:14:03,This example is about TotalPackages,contradiction
Service Type: Ground,This example is about DateAndTimes,contradiction
Service Type: Ground,This example is about TotalWeight,contradiction
Service Type: Economy,This example is about ProductType,entailment
Scheduled DateAndTimes: 2023-08-24 03:49:28,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2024-01-25 17:45:49,This example is about DateAndTimes,entailment
Number of Packages: 9,This example is about TotalPackages,entailment
Package Volume: 0.104 m³,This example is about DateAndTimes,contradiction
"Destination: Tokyo, CA",This example is about Destination,entailment
Scheduled DateAndTimes: 2023-10-28 06:38:26,This example is about Timestamp,contradiction
Package Volume: 0.565 m³,This example is about DateAndTimes,contradiction
Scheduled DateAndTimes: 2023-03-29 10:08:35,This example is about DateAndTimes,entailment
Package Volume: 0.822 m³,This example is about Timestamp,contradiction
"Origin: New York, IN",This example is about ProductType,contradiction
Package Volume: 0.479 m³,This example is about TotalVolume,entailment
Package Volume: 0.506 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2023-07-23 04:32:59,This example is about DateAndTimes,entailment
"Destination: London, DE",This example is about Destination,entailment
Package Volume: 0.786 m³,This example is about Timestamp,contradiction
"Destination: Berlin, CN",This example is about Destination,entailment
Package Volume: 0.938 m³,This example is about Destination,contradiction
"Destination: Toronto, FR",This example is about TotalPackages,contradiction
"Destination: Toronto, US",This example is about Destination,entailment
Package Weight: 48.08 KG,This example is about TotalWeight,entailment
Number of Packages: 6,This example is about Timestamp,contradiction
Service Type: 2nd Day Air,This example is about DateAndTimes,contradiction
Package Volume: 0.645 m³,This example is about TotalVolume,entailment
"Origin: Mumbai, US",This example is about Destination,contradiction
Scheduled DateAndTimes: 2023-06-25 16:03:33,This example is about DateAndTimes,entailment
Shipment ID: 1Z503951053976,This example is about HousebillNumber,entailment
"Destination: Beijing, FR",This example is about Destination,entailment
Shipment ID: DHL885861339450,This example is about HousebillNumber,entailment
Package Volume: 0.996 m³,This example is about TotalVolume,entailment
"Origin: London, AE",This example is about DateAndTimes,contradiction
"Destination: Mumbai, DE",This example is about Destination,entailment
Number of Packages: 7,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2023-10-08 14:13:50,This example is about TotalPackages,contradiction
"Origin: London, AE",This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2023-10-23 07:47:23,This example is about DateAndTimes,entailment
"Destination: Berlin, CA",This example is about Destination,entailment
Number of Packages: 9,This example is about TotalPackages,entailment
Shipment Status: Out for delivery at 2024-09-30 08:35:01,This example is about Timestamp,entailment
Number of Packages: 2,This example is about TotalPackages,entailment
Service Type: Same Day,This example is about ProductType,entailment
"Destination: London, GB",This example is about Destination,entailment
"Destination: Paris, AU",This example is about Destination,entailment
"Origin: Mumbai, AE",This example is about Origin,entailment
"Destination: London, JP",This example is about HousebillNumber,contradiction
Package Volume: 0.786 m³,This example is about Destination,contradiction
"Origin: Tokyo, CN",This example is about Origin,entailment
Number of Packages: 10,This example is about Timestamp,contradiction
Service Type: Ground,This example is about TotalWeight,contradiction
Package Volume: 0.71 m³,This example is about HousebillNumber,contradiction
"Destination: Mumbai, FR",This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-01-31 22:29:49,This example is about Timestamp,contradiction
Shipment Status: Customs clearance at 2024-09-05 22:54:37,This example is about Timestamp,entailment
"Destination: Beijing, AU",This example is about TotalVolume,contradiction
Shipment Status: Customs clearance at 2024-08-22 01:46:15,This example is about TotalWeight,contradiction
"Destination: Berlin, IN",This example is about TotalVolume,contradiction
Package Volume: 0.205 m³,This example is about Destination,contradiction
"Destination: Berlin, AE",This example is about HousebillNumber,contradiction
Package Volume: 0.64 m³,This example is about TotalVolume,entailment
Shipment Status: Departed facility at 2023-01-30 19:18:00,This example is about Timestamp,entailment
Shipment ID: UPS577086273594,This example is about HousebillNumber,entailment
Service Type: 2nd Day Air,This example is about TotalWeight,contradiction
Service Type: Freight,This example is about ProductType,entailment
Shipment ID: 1Z159495956614,This example is about HousebillNumber,entailment
Package Weight: 16.23 KG,This example is about Origin,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
"Origin: Tokyo, CN",This example is about Destination,contradiction
Package Volume: 0.809 m³,This example is about Timestamp,contradiction
Service Type: Next Day Air,This example is about ProductType,entailment
Package Weight: 38.15 KG,This example is about TotalVolume,contradiction
Package Volume: 0.738 m³,This example is about TotalVolume,entailment
Package Weight: 48.57 KG,This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-05-14 03:21:23,This example is about DateAndTimes,entailment
"Origin: Sydney, JP",This example is about Origin,entailment
Shipment Status: Departed facility at 2024-12-02 06:49:30,This example is about HousebillNumber,contradiction
"Origin: Tokyo, FR",This example is about Destination,contradiction
Shipment ID: 1Z652388694223,This example is about HousebillNumber,entailment
Package Volume: 0.563 m³,This example is about HousebillNumber,contradiction
"Destination: Dubai, CN",This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2024-04-21 08:30:19,This example is about DateAndTimes,entailment
Package Weight: 3.92 KG,This example is about TotalWeight,entailment
Package Volume: 0.384 m³,This example is about HousebillNumber,contradiction
"Origin: Mumbai, AU",This example is about Origin,entailment
"Origin: Beijing, AE",This example is about Timestamp,contradiction
Shipment Status: Customs clearance at 2024-01-10 21:19:03,This example is about Timestamp,entailment
Package Volume: 0.583 m³,This example is about TotalVolume,entailment
"Origin: Paris, JP",This example is about Origin,entailment
Scheduled DateAndTimes: 2024-08-18 08:52:33,This example is about Timestamp,contradiction
Package Volume: 0.488 m³,This example is about HousebillNumber,contradiction
Number of Packages: 9,This example is about TotalPackages,entailment
Package Volume: 0.791 m³,This example is about TotalVolume,entailment
Shipment Status: Delivered at 2023-12-24 08:59:49,This example is about Timestamp,entailment
Package Volume: 0.442 m³,This example is about TotalWeight,contradiction
"Destination: Paris, IN",This example is about Destination,entailment
"Destination: Dubai, GB",This example is about Origin,contradiction
Shipment Status: Exception at 2023-08-15 11:35:28,This example is about Timestamp,entailment
Shipment ID: 1Z227602959050,This example is about HousebillNumber,entailment
Number of Packages: 1,This example is about Destination,contradiction
Number of Packages: 5,This example is about TotalPackages,entailment
Package Volume: 0.388 m³,This example is about TotalVolume,entailment
"Destination: Paris, DE",This example is about Destination,entailment
Package Weight: 8.46 KG,This example is about Timestamp,contradiction
Package Volume: 0.934 m³,This example is about TotalPackages,contradiction
Shipment Status: Out for delivery at 2023-10-26 17:09:44,This example is about TotalWeight,contradiction
Shipment Status: In transit at 2024-04-14 16:08:57,This example is about Destination,contradiction
"Origin: New York, GB",This example is about ProductType,contradiction
Package Weight: 21.68 KG,This example is about TotalWeight,entailment
"Destination: Sydney, JP",This example is about Origin,contradiction
Service Type: Same Day,This example is about ProductType,entailment
Shipment Status: Delivered at 2023-01-27 12:27:34,This example is about Timestamp,entailment
Package Volume: 0.724 m³,This example is about TotalWeight,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
Shipment Status: Exception at 2023-06-27 02:39:32,This example is about Origin,contradiction
"Origin: New York, AE",This example is about TotalWeight,contradiction
Service Type: Economy,This example is about TotalPackages,contradiction
Number of Packages: 3,This example is about TotalWeight,contradiction
"Destination: Toronto, GB",This example is about Destination,entailment
Shipment ID: 1Z243946215159,This example is about HousebillNumber,entailment
"Origin: Beijing, FR",This example is about HousebillNumber,contradiction
"Origin: London, JP",This example is about Origin,entailment
Package Volume: 0.734 m³,This example is about TotalWeight,contradiction
Shipment Status: Exception at 2024-04-27 16:25:56,This example is about Timestamp,entailment
Package Volume: 0.588 m³,This example is about HousebillNumber,contradiction
"Destination: Sydney, FR",This example is about Destination,entailment
Shipment Status: Exception at 2024-09-18 09:35:15,This example is about HousebillNumber,contradiction
Number of Packages: 3,This example is about TotalPackages,entailment
Number of Packages: 3,This example is about HousebillNumber,contradiction
Service Type: Same Day,This example is about ProductType,entailment
Shipment ID: 1Z624496312972,This example is about HousebillNumber,entailment
"Origin: London, AE",This example is about Origin,entailment
Package Weight: 72.23 KG,This example is about ProductType,contradiction
"Origin: New York, GB",This example is about Destination,contradiction
"Destination: Dubai, CN",This example is about Destination,entailment
Shipment Status: Delivered at 2023-02-07 01:02:27,This example is about Timestamp,entailment
Number of Packages: 3,This example is about TotalWeight,contradiction
"Destination: Mumbai, FR",This example is about Destination,entailment
Shipment Status: Picked up at 2024-08-28 05:04:31,This example is about HousebillNumber,contradiction
Shipment Status: Picked up at 2023-10-06 22:33:13,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-10-25 00:45:50,This example is about DateAndTimes,entailment
Package Weight: 66.72 KG,This example is about TotalPackages,contradiction
Service Type: Standard,This example is about ProductType,entailment
Package Volume: 0.087 m³,This example is about TotalVolume,entailment
Shipment Status: Exception at 2024-05-03 06:16:36,This example is about HousebillNumber,contradiction
Package Weight: 54.32 KG,This example is about TotalWeight,entailment
Shipment ID: UPS067567912547,This example is about HousebillNumber,entailment
"Destination: Tokyo, CA",This example is about ProductType,contradiction
Number of Packages: 8,This example is about TotalVolume,contradiction
Package Weight: 22.93 KG,This example is about HousebillNumber,contradiction
Shipment Status: Departed facility at 2023-12-27 02:13:44,This example is about Timestamp,entailment
"Origin: Toronto, DE",This example is about Origin,entailment
"Origin: Mumbai, DE",This example is about TotalVolume,contradiction
Package Volume: 0.271 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2023-10-22 02:30:36,This example is about DateAndTimes,entailment
Shipment Status: Exception at 2024-09-16 18:02:06,This example is about TotalPackages,contradiction
Service Type: Express,This example is about ProductType,entailment
Shipment Status: Departed facility at 2024-05-03 01:43:07,This example is about Timestamp,entailment
"Destination: Tokyo, CA",This example is about Destination,entailment
"Destination: New York, AU",This example is about Destination,entailment
Service Type: Express,This example is about HousebillNumber,contradiction
Package Volume: 0.866 m³,This example is about TotalVolume,entailment
Package Weight: 77.8 KG,This example is about Origin,contradiction
"Origin: Toronto, AU",This example is about ProductType,contradiction
Shipment ID: FDX487792344761,This example is about HousebillNumber,entailment
Shipment ID: FDX701299178861,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2024-04-21 19:01:41,This example is about TotalPackages,contradiction
"Origin: Toronto, CA",This example is about Destination,contradiction
Service Type: Next Day Air,This example is about TotalPackages,contradiction
"Destination: Mumbai, AE",This example is about Origin,contradiction
"Origin: Berlin, AE",This example is about TotalWeight,contradiction
"Destination: Beijing, JP",This example is about Destination,entailment
Package Weight: 15.47 KG,This example is about TotalWeight,entailment
Package Volume: 0.431 m³,This example is about Timestamp,contradiction
Package Weight: 58.8 KG,This example is about ProductType,contradiction
Package Volume: 0.279 m³,This example is about TotalVolume,entailment
Package Volume: 0.213 m³,This example is about TotalVolume,entailment
"Destination: Sydney, CN",This example is about DateAndTimes,contradiction
Package Volume: 0.045 m³,This example is about TotalVolume,entailment
Package Volume: 0.016 m³,This example is about TotalWeight,contradiction
"Origin: Toronto, AU",This example is about Origin,entailment
Scheduled DateAndTimes: 2024-08-11 02:41:40,This example is about DateAndTimes,entailment
Shipment Status: Exception at 2023-03-30 23:09:29,This example is about TotalVolume,contradiction
"Destination: Dubai, AE",This example is about TotalWeight,contradiction
Shipment Status: Picked up at 2024-07-22 20:48:20,This example is about ProductType,contradiction
"Destination: Beijing, AE",This example is about Timestamp,contradiction
"Destination: Tokyo, AU",This example is about Destination,entailment
"Origin: Dubai, US",This example is about Destination,contradiction
Service Type: 2nd Day Air,This example is about TotalPackages,contradiction
"Destination: Beijing, CN",This example is about Destination,entailment
Shipment ID: FDX559960646874,This example is about HousebillNumber,entailment
Number of Packages: 2,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2024-12-17 03:24:44,This example is about Destination,contradiction
Scheduled DateAndTimes: 2023-02-12 05:26:51,This example is about ProductType,contradiction
"Destination: Beijing, FR",This example is about Origin,contradiction
"Destination: Tokyo, FR",This example is about DateAndTimes,contradiction
Shipment Status: Delivered at 2023-01-05 18:29:32,This example is about Timestamp,entailment
"Origin: New York, CN",This example is about TotalPackages,contradiction
Package Volume: 0.67 m³,This example is about TotalVolume,entailment
Package Weight: 33.61 KG,This example is about Origin,contradiction
"Origin: Toronto, US",This example is about TotalWeight,contradiction
Package Volume: 0.188 m³,This example is about TotalVolume,entailment
"Origin: Tokyo, FR",This example is about ProductType,contradiction
Package Volume: 0.657 m³,This example is about TotalVolume,entailment
Shipment ID: FDX278580001348,This example is about HousebillNumber,entailment
Package Weight: 65.06 KG,This example is about TotalPackages,contradiction
Number of Packages: 1,This example is about Origin,contradiction
Number of Packages: 7,This example is about Destination,contradiction
Service Type: Same Day,This example is about ProductType,entailment
Package Weight: 11.47 KG,This example is about TotalVolume,contradiction
Shipment Status: In transit at 2023-08-30 18:19:42,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-05-11 09:33:58,This example is about DateAndTimes,entailment
"Origin: Dubai, JP",This example is about Origin,entailment
Shipment Status: Out for delivery at 2023-04-19 21:33:47,This example is about DateAndTimes,contradiction
Package Weight: 18.21 KG,This example is about DateAndTimes,contradiction
Package Volume: 0.498 m³,This example is about TotalVolume,entailment
Package Weight: 46.45 KG,This example is about TotalWeight,entailment
"Origin: Tokyo, AU",This example is about Timestamp,contradiction
Shipment ID: UPS274913629333,This example is about HousebillNumber,entailment
Package Weight: 57.5 KG,This example is about TotalWeight,entailment
Package Weight: 1.08 KG,This example is about TotalWeight,entailment
Service Type: Standard,This example is about TotalWeight,contradiction
Shipment Status: Arrived at facility at 2023-02-22 06:05:32,This example is about Timestamp,entailment
Number of Packages: 7,This example is about TotalPackages,entailment
Package Weight: 83.15 KG,This example is about Timestamp,contradiction
Service Type: Same Day,This example is about DateAndTimes,contradiction
"Origin: Dubai, CN",This example is about TotalWeight,contradiction
"Destination: New York, US",This example is about HousebillNumber,contradiction
Number of Packages: 5,This example is about TotalPackages,entailment
Shipment Status: Arrived at facility at 2024-08-25 00:30:07,This example is about Timestamp,entailment
"Destination: Mumbai, CA",This example is about Destination,entailment
Package Volume: 0.839 m³,This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2024-09-17 10:43:14,This example is about DateAndTimes,entailment
Package Volume: 0.911 m³,This example is about TotalVolume,entailment
Package Weight: 13.45 KG,This example is about TotalVolume,contradiction
"Origin: Paris, US",This example is about Timestamp,contradiction
"Origin: Paris, DE",This example is about Origin,entailment
Service Type: Express,This example is about Origin,contradiction
Package Volume: 0.712 m³,This example is about TotalVolume,entailment
Package Weight: 40.1 KG,This example is about TotalWeight,entailment
Shipment Status: Arrived at facility at 2024-03-24 01:03:02,This example is about TotalWeight,contradiction
Shipment ID: FDX934289068136,This example is about HousebillNumber,entailment
Package Volume: 0.853 m³,This example is about TotalVolume,entailment
Shipment Status: Out for delivery at 2024-11-28 10:37:07,This example is about Timestamp,entailment
Service Type: Next Day Air,This example is about ProductType,entailment
Number of Packages: 6,This example is about Timestamp,contradiction
Package Volume: 0.974 m³,This example is about TotalVolume,entailment
"Destination: Dubai, JP",This example is about Destination,entailment
Shipment ID: DHL825271918330,This example is about HousebillNumber,entailment
Package Weight: 53.66 KG,This example is about TotalVolume,contradiction
Shipment Status: Picked up at 2023-12-17 01:52:31,This example is about Destination,contradiction
Package Weight: 80.9 KG,This example is about TotalVolume,contradiction
Package Weight: 76.68 KG,This example is about HousebillNumber,contradiction
"Origin: Toronto, IN",This example is about Origin,entailment
Package Weight: 22.04 KG,This example is about ProductType,contradiction
Shipment ID: FDX944285317138,This example is about HousebillNumber,entailment
Number of Packages: 2,This example is about TotalVolume,contradiction
"Origin: London, JP",This example is about Timestamp,contradiction
"Origin: Sydney, DE",This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-11-17 03:45:34,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2024-06-15 02:53:22,This example is about DateAndTimes,entailment
Package Volume: 0.829 m³,This example is about DateAndTimes,contradiction
"Destination: Mumbai, CA",This example is about TotalWeight,contradiction
Package Volume: 0.769 m³,This example is about TotalVolume,entailment
Shipment Status: Picked up at 2023-10-26 11:25:24,This example is about Timestamp,entailment
"Origin: Beijing, US",This example is about TotalVolume,contradiction
Package Weight: 57.5 KG,This example is about ProductType,contradiction
Shipment Status: Picked up at 2023-08-14 00:27:59,This example is about Destination,contradiction
Package Volume: 0.973 m³,This example is about TotalVolume,entailment
Package Volume: 0.414 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2024-04-28 07:07:22,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2023-04-12 23:17:53,This example is about DateAndTimes,entailment
Service Type: Freight,This example is about ProductType,entailment
Shipment Status: Customs clearance at 2023-11-19 23:22:44,This example is about Timestamp,entailment
"Origin: Berlin, CN",This example is about HousebillNumber,contradiction
Shipment Status: Arrived at facility at 2024-11-17 09:19:44,This example is about Timestamp,entailment
"Destination: Sydney, AE",This example is about DateAndTimes,contradiction
"Destination: New York, JP",This example is about Destination,entailment
