premise,hypothesis,label
Scheduled DateAndTimes: 2023-05-08 20:36:39,This example is about DateAndTimes,entailment
Package Weight: 35.94 KG,This example is about TotalWeight,entailment
"Origin: Mumbai, US",This example is about Origin,entailment
"Origin: New York, CN",This example is about Origin,entailment
Service Type: Next Day Air,This example is about TotalPackages,contradiction
Number of Packages: 6,This example is about ProductType,contradiction
Scheduled DateAndTimes: 2023-06-20 14:21:51,This example is about Destination,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
"Origin: Dubai, IN",This example is about Origin,entailment
Scheduled DateAndTimes: 2023-09-16 22:34:55,This example is about TotalVolume,contradiction
"Origin: Dubai, DE",This example is about HousebillNumber,contradiction
"Origin: Mumbai, AE",This example is about Origin,entailment
Service Type: Same Day,This example is about ProductType,entailment
Number of Packages: 7,This example is about TotalPackages,entailment
"Origin: Mumbai, US",This example is about ProductType,contradiction
Service Type: Economy,This example is about Origin,contradiction
Shipment ID: DHL657723570291,This example is about HousebillNumber,entailment
Service Type: Express,This example is about ProductType,entailment
Shipment ID: 1Z935253200538,This example is about HousebillNumber,entailment
"Origin: Beijing, DE",This example is about ProductType,contradiction
Package Volume: 0.386 m³,This example is about Origin,contradiction
Shipment ID: FDX519529753577,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2024-01-10 00:42:18,This example is about DateAndTimes,entailment
Package Weight: 83.64 KG,This example is about TotalWeight,entailment
Number of Packages: 10,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2024-01-10 00:42:18,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2024-07-26 10:37:06,This example is about DateAndTimes,entailment
Number of Packages: 4,This example is about ProductType,contradiction
Service Type: 2nd Day Air,This example is about ProductType,entailment
Shipment Status: Exception at 2023-12-10 23:06:23,This example is about Timestamp,entailment
Shipment ID: UPS870156089766,This example is about HousebillNumber,entailment
Package Weight: 76.42 KG,This example is about HousebillNumber,contradiction
Shipment ID: 1Z897598543368,This example is about HousebillNumber,entailment
Shipment Status: Delivered at 2024-03-27 23:45:45,This example is about Destination,contradiction
"Origin: Beijing, CA",This example is about Destination,contradiction
"Destination: Mumbai, JP",This example is about Destination,entailment
"Destination: Sydney, JP",This example is about Destination,entailment
"Origin: London, CA",This example is about Origin,entailment
Shipment ID: DHL753016613275,This example is about HousebillNumber,entailment
"Origin: Toronto, US",This example is about TotalVolume,contradiction
Service Type: Same Day,This example is about Origin,contradiction
"Destination: Sydney, AE",This example is about Destination,entailment
Package Volume: 0.952 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2024-04-07 02:18:26,This example is about DateAndTimes,entailment
Service Type: Economy,This example is about ProductType,entailment
Package Volume: 0.834 m³,This example is about TotalPackages,contradiction
"Origin: Tokyo, CN",This example is about Origin,entailment
"Origin: Mumbai, FR",This example is about Origin,entailment
Package Weight: 32.59 KG,This example is about Origin,contradiction
Package Volume: 0.438 m³,This example is about TotalVolume,entailment
Package Weight: 88.58 KG,This example is about Timestamp,contradiction
Package Weight: 99.24 KG,This example is about TotalWeight,entailment
Shipment Status: Delivered at 2023-09-17 18:52:04,This example is about DateAndTimes,contradiction
"Origin: Sydney, CN",This example is about Origin,entailment
Shipment Status: Out for delivery at 2024-09-19 20:49:50,This example is about Timestamp,entailment
Package Volume: 0.267 m³,This example is about TotalVolume,entailment
"Origin: Paris, AU",This example is about Origin,entailment
Number of Packages: 1,This example is about TotalWeight,contradiction
"Origin: Tokyo, CN",This example is about Origin,entailment
"Origin: Sydney, GB",This example is about Origin,entailment
"Destination: Dubai, GB",This example is about Destination,entailment
Shipment Status: Picked up at 2023-06-30 19:35:56,This example is about Timestamp,entailment
Package Weight: 93.39 KG,This example is about TotalWeight,entailment
Shipment ID: FDX420268710841,This example is about HousebillNumber,entailment
Package Volume: 0.416 m³,This example is about DateAndTimes,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
Service Type: Express,This example is about Origin,contradiction
Shipment Status: Picked up at 2023-05-30 11:53:58,This example is about Destination,contradiction
Number of Packages: 1,This example is about TotalPackages,entailment
Service Type: Economy,This example is about ProductType,entailment
Service Type: Express,This example is about ProductType,entailment
"Destination: Dubai, CA",This example is about ProductType,contradiction
Scheduled DateAndTimes: 2023-07-08 07:13:34,This example is about DateAndTimes,entailment
Package Volume: 0.697 m³,This example is about TotalVolume,entailment
Service Type: Standard,This example is about ProductType,entailment
Shipment Status: Customs clearance at 2024-02-06 19:09:47,This example is about Destination,contradiction
Service Type: Same Day,This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2023-02-01 14:27:38,This example is about ProductType,contradiction
Package Weight: 92.18 KG,This example is about ProductType,contradiction
Scheduled DateAndTimes: 2024-04-30 18:36:56,This example is about HousebillNumber,contradiction
Shipment Status: Customs clearance at 2023-01-18 07:02:31,This example is about Timestamp,entailment
"Origin: Toronto, DE",This example is about TotalVolume,contradiction
Package Volume: 0.496 m³,This example is about Origin,contradiction
Package Weight: 92.18 KG,This example is about TotalWeight,entailment
Service Type: Freight,This example is about ProductType,entailment
"Destination: Toronto, AE",This example is about Destination,entailment
Scheduled DateAndTimes: 2024-10-22 09:51:25,This example is about Timestamp,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
"Origin: Berlin, DE",This example is about Destination,contradiction
Number of Packages: 4,This example is about Origin,contradiction
Scheduled DateAndTimes: 2024-06-04 23:35:34,This example is about DateAndTimes,entailment
"Destination: Dubai, CA",This example is about Origin,contradiction
Package Weight: 82.54 KG,This example is about Timestamp,contradiction
Shipment Status: Arrived at facility at 2024-01-31 20:15:11,This example is about Timestamp,entailment
Number of Packages: 10,This example is about TotalPackages,entailment
Number of Packages: 7,This example is about DateAndTimes,contradiction
"Origin: New York, GB",This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2023-09-10 13:53:31,This example is about TotalWeight,contradiction
Shipment Status: Customs clearance at 2023-09-04 22:55:40,This example is about HousebillNumber,contradiction
"Origin: London, CA",This example is about TotalVolume,contradiction
Number of Packages: 9,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2023-07-29 06:30:47,This example is about Origin,contradiction
Package Volume: 0.577 m³,This example is about ProductType,contradiction
Package Volume: 0.128 m³,This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-12-26 19:57:47,This example is about DateAndTimes,entailment
Service Type: Economy,This example is about Origin,contradiction
Service Type: Same Day,This example is about Timestamp,contradiction
Service Type: Next Day Air,This example is about Destination,contradiction
Service Type: Same Day,This example is about TotalVolume,contradiction
Package Volume: 0.799 m³,This example is about TotalVolume,entailment
"Destination: New York, US",This example is about TotalWeight,contradiction
Package Volume: 0.217 m³,This example is about Destination,contradiction
Service Type: 2nd Day Air,This example is about Destination,contradiction
Shipment Status: Picked up at 2024-06-28 22:39:57,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-09-11 03:42:05,This example is about ProductType,contradiction
Shipment ID: FDX370535482638,This example is about HousebillNumber,entailment
Shipment Status: Delivered at 2023-05-31 02:51:47,This example is about Timestamp,entailment
Package Weight: 21.4 KG,This example is about DateAndTimes,contradiction
Number of Packages: 3,This example is about Timestamp,contradiction
"Origin: Toronto, AU",This example is about TotalVolume,contradiction
Package Volume: 0.473 m³,This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-07-16 17:53:03,This example is about DateAndTimes,entailment
Package Volume: 0.903 m³,This example is about DateAndTimes,contradiction
Package Weight: 23.74 KG,This example is about ProductType,contradiction
Package Weight: 40.65 KG,This example is about TotalWeight,entailment
Package Volume: 0.578 m³,This example is about TotalVolume,entailment
Package Weight: 85.47 KG,This example is about HousebillNumber,contradiction
Service Type: Freight,This example is about ProductType,entailment
Package Volume: 0.859 m³,This example is about Destination,contradiction
Service Type: Same Day,This example is about ProductType,entailment
"Origin: Berlin, CA",This example is about Origin,entailment
Number of Packages: 5,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2023-03-16 17:39:31,This example is about DateAndTimes,entailment
"Origin: New York, IN",This example is about Origin,entailment
Scheduled DateAndTimes: 2023-05-08 20:36:39,This example is about ProductType,contradiction
Number of Packages: 6,This example is about TotalPackages,entailment
Package Weight: 72.34 KG,This example is about ProductType,contradiction
Scheduled DateAndTimes: 2024-02-18 12:36:25,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2023-02-04 05:52:28,This example is about DateAndTimes,entailment
Number of Packages: 1,This example is about DateAndTimes,contradiction
"Origin: Toronto, FR",This example is about Origin,entailment
Scheduled DateAndTimes: 2023-01-05 10:59:08,This example is about HousebillNumber,contradiction
Package Volume: 0.801 m³,This example is about TotalWeight,contradiction
Package Volume: 0.398 m³,This example is about DateAndTimes,contradiction
Package Weight: 13.86 KG,This example is about TotalWeight,entailment
Package Weight: 73.01 KG,This example is about TotalWeight,entailment
Service Type: Express,This example is about HousebillNumber,contradiction
"Destination: Toronto, AE",This example is about Destination,entailment
Package Weight: 29.58 KG,This example is about TotalWeight,entailment
Package Weight: 29.06 KG,This example is about TotalVolume,contradiction
Package Volume: 0.275 m³,This example is about ProductType,contradiction
Service Type: Express,This example is about TotalVolume,contradiction
Number of Packages: 7,This example is about TotalPackages,entailment
Package Weight: 15.33 KG,This example is about TotalWeight,entailment
Number of Packages: 9,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2024-06-10 19:30:30,This example is about TotalPackages,contradiction
"Origin: Tokyo, CA",This example is about ProductType,contradiction
Service Type: Ground,This example is about ProductType,entailment
Package Weight: 6.93 KG,This example is about Origin,contradiction
"Destination: Berlin, FR",This example is about HousebillNumber,contradiction
Package Weight: 60.12 KG,This example is about Timestamp,contradiction
Shipment Status: Out for delivery at 2024-09-28 00:18:34,This example is about TotalVolume,contradiction
Number of Packages: 7,This example is about HousebillNumber,contradiction
Service Type: Ground,This example is about HousebillNumber,contradiction
Shipment Status: Exception at 2023-08-12 06:57:33,This example is about TotalPackages,contradiction
Number of Packages: 9,This example is about HousebillNumber,contradiction
"Origin: Beijing, CA",This example is about Destination,contradiction
Service Type: Same Day,This example is about DateAndTimes,contradiction
Number of Packages: 1,This example is about Timestamp,contradiction
Service Type: Express,This example is about Destination,contradiction
Service Type: Standard,This example is about ProductType,entailment
Package Volume: 0.775 m³,This example is about TotalVolume,entailment
Service Type: Express,This example is about TotalPackages,contradiction
"Destination: Beijing, DE",This example is about HousebillNumber,contradiction
Package Weight: 21.4 KG,This example is about TotalWeight,entailment
Shipment Status: Delivered at 2024-06-05 02:16:32,This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2023-06-13 04:21:05,This example is about TotalPackages,contradiction
Package Volume: 0.152 m³,This example is about TotalVolume,entailment
Shipment Status: Arrived at facility at 2023-08-26 10:12:37,This example is about HousebillNumber,contradiction
Package Weight: 52.1 KG,This example is about ProductType,contradiction
"Origin: New York, CN",This example is about Timestamp,contradiction
Package Volume: 0.496 m³,This example is about TotalVolume,entailment
Package Volume: 0.135 m³,This example is about TotalVolume,entailment
Package Weight: 77.99 KG,This example is about TotalWeight,entailment
Shipment ID: 1Z373318904123,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2023-02-12 12:56:00,This example is about DateAndTimes,entailment
Number of Packages: 8,This example is about TotalPackages,entailment
Package Weight: 47.5 KG,This example is about TotalWeight,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Number of Packages: 8,This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2024-04-07 02:18:26,This example is about ProductType,contradiction
Package Volume: 0.349 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2024-10-02 22:15:06,This example is about TotalPackages,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
Shipment ID: UPS725611446163,This example is about HousebillNumber,entailment
Package Volume: 0.425 m³,This example is about TotalVolume,entailment
"Origin: Berlin, CA",This example is about DateAndTimes,contradiction
Shipment Status: Picked up at 2023-06-09 16:37:18,This example is about Timestamp,entailment
Package Volume: 0.357 m³,This example is about Destination,contradiction
Number of Packages: 5,This example is about Timestamp,contradiction
"Destination: Toronto, AE",This example is about Destination,entailment
Number of Packages: 10,This example is about Destination,contradiction
Package Weight: 41.11 KG,This example is about TotalWeight,entailment
"Origin: Sydney, FR",This example is about TotalPackages,contradiction
Shipment ID: 1Z126739826169,This example is about HousebillNumber,entailment
Shipment ID: DHL709699697344,This example is about HousebillNumber,entailment
Number of Packages: 5,This example is about Timestamp,contradiction
Package Weight: 6.32 KG,This example is about TotalWeight,entailment
Service Type: Same Day,This example is about Destination,contradiction
Package Volume: 0.438 m³,This example is about DateAndTimes,contradiction
Package Volume: 0.444 m³,This example is about TotalVolume,entailment
"Destination: London, AE",This example is about Origin,contradiction
Package Volume: 0.152 m³,This example is about HousebillNumber,contradiction
Package Volume: 0.119 m³,This example is about ProductType,contradiction
Package Weight: 52.1 KG,This example is about TotalWeight,entailment
Shipment Status: Picked up at 2023-05-30 07:50:02,This example is about Origin,contradiction
Number of Packages: 6,This example is about Destination,contradiction
Service Type: Express,This example is about TotalWeight,contradiction
Shipment Status: Delivered at 2024-02-21 08:10:05,This example is about Timestamp,entailment
Service Type: Same Day,This example is about ProductType,entailment
Scheduled DateAndTimes: 2024-08-31 07:52:35,This example is about DateAndTimes,entailment
Service Type: Freight,This example is about ProductType,entailment
Service Type: Same Day,This example is about ProductType,entailment
"Origin: Mumbai, AE",This example is about DateAndTimes,contradiction
Package Volume: 0.275 m³,This example is about TotalVolume,entailment
"Destination: London, CN",This example is about Destination,entailment
Package Weight: 41.11 KG,This example is about Timestamp,contradiction
Package Volume: 0.467 m³,This example is about Destination,contradiction
Package Weight: 13.86 KG,This example is about Origin,contradiction
"Origin: New York, JP",This example is about HousebillNumber,contradiction
Package Weight: 23.74 KG,This example is about TotalWeight,entailment
Number of Packages: 10,This example is about TotalVolume,contradiction
Service Type: Express,This example is about ProductType,entailment
Service Type: Express,This example is about TotalVolume,contradiction
"Destination: Sydney, AE",This example is about TotalVolume,contradiction
Package Volume: 0.723 m³,This example is about TotalVolume,entailment
Package Volume: 0.05 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2024-06-10 19:30:30,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2023-09-11 13:50:54,This example is about DateAndTimes,entailment
Package Weight: 99.24 KG,This example is about Destination,contradiction
Package Volume: 0.858 m³,This example is about TotalPackages,contradiction
Service Type: Next Day Air,This example is about ProductType,entailment
Package Weight: 40.65 KG,This example is about HousebillNumber,contradiction
"Origin: Paris, AU",This example is about TotalWeight,contradiction
Shipment Status: In transit at 2023-09-27 05:23:23,This example is about Timestamp,entailment
"Destination: Beijing, JP",This example is about Timestamp,contradiction
Number of Packages: 2,This example is about TotalVolume,contradiction
"Destination: Toronto, JP",This example is about Destination,entailment
"Origin: New York, GB",This example is about Origin,entailment
"Destination: Paris, DE",This example is about Destination,entailment
Scheduled DateAndTimes: 2023-10-12 00:51:28,This example is about TotalWeight,contradiction
"Origin: Paris, CN",This example is about Origin,entailment
Shipment Status: In transit at 2024-10-05 10:16:36,This example is about ProductType,contradiction
Scheduled DateAndTimes: 2023-07-13 06:34:51,This example is about DateAndTimes,entailment
"Destination: Dubai, AU",This example is about DateAndTimes,contradiction
Number of Packages: 10,This example is about Timestamp,contradiction
Shipment Status: Customs clearance at 2024-02-08 15:14:01,This example is about Origin,contradiction
Scheduled DateAndTimes: 2024-04-25 11:35:19,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2023-03-27 03:36:29,This example is about DateAndTimes,entailment
Number of Packages: 9,This example is about TotalPackages,entailment
Number of Packages: 4,This example is about TotalPackages,entailment
Service Type: Express,This example is about DateAndTimes,contradiction
Number of Packages: 5,This example is about ProductType,contradiction
Package Volume: 0.659 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2023-06-13 04:21:05,This example is about DateAndTimes,entailment
"Origin: Beijing, US",This example is about DateAndTimes,contradiction
"Destination: Paris, JP",This example is about TotalVolume,contradiction
Package Weight: 5.86 KG,This example is about TotalPackages,contradiction
Service Type: Express,This example is about ProductType,entailment
"Destination: London, AU",This example is about TotalPackages,contradiction
Package Weight: 67.56 KG,This example is about DateAndTimes,contradiction
"Destination: Tokyo, DE",This example is about ProductType,contradiction
Package Volume: 0.423 m³,This example is about DateAndTimes,contradiction
Scheduled DateAndTimes: 2023-07-23 13:54:23,This example is about DateAndTimes,entailment
"Destination: Beijing, JP",This example is about Timestamp,contradiction
"Destination: Toronto, CN",This example is about Destination,entailment
Shipment Status: Departed facility at 2024-06-06 04:39:45,This example is about TotalPackages,contradiction
"Origin: Sydney, FR",This example is about Origin,entailment
Number of Packages: 6,This example is about ProductType,contradiction
Scheduled DateAndTimes: 2023-05-27 02:06:46,This example is about DateAndTimes,entailment
"Origin: Mumbai, IN",This example is about ProductType,contradiction
"Origin: Mumbai, JP",This example is about Destination,contradiction
Number of Packages: 7,This example is about DateAndTimes,contradiction
"Origin: Paris, US",This example is about Origin,entailment
"Origin: Tokyo, AE",This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2023-01-10 23:02:28,This example is about ProductType,contradiction
"Origin: Paris, US",This example is about Origin,entailment
Shipment Status: Out for delivery at 2023-03-13 16:08:16,This example is about Timestamp,entailment
"Origin: Berlin, GB",This example is about HousebillNumber,contradiction
Shipment Status: Customs clearance at 2024-02-13 03:59:02,This example is about TotalPackages,contradiction
"Origin: Mumbai, FR",This example is about HousebillNumber,contradiction
"Destination: Paris, FR",This example is about Destination,entailment
Service Type: Express,This example is about TotalVolume,contradiction
"Destination: Paris, FR",This example is about TotalWeight,contradiction
Shipment Status: Exception at 2023-08-15 22:56:01,This example is about Timestamp,entailment
"Origin: Toronto, AU",This example is about Destination,contradiction
Package Volume: 0.224 m³,This example is about Destination,contradiction
Shipment Status: Departed facility at 2023-05-01 15:04:03,This example is about Timestamp,entailment
Shipment ID: 1Z411445991785,This example is about HousebillNumber,entailment
"Destination: Berlin, FR",This example is about TotalVolume,contradiction
Package Volume: 0.766 m³,This example is about Timestamp,contradiction
"Origin: Sydney, CN",This example is about Origin,entailment
"Destination: Toronto, AE",This example is about HousebillNumber,contradiction
Shipment Status: In transit at 2024-10-23 00:42:58,This example is about Timestamp,entailment
Service Type: Economy,This example is about ProductType,entailment
"Destination: London, GB",This example is about TotalVolume,contradiction
Number of Packages: 1,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2023-09-11 13:50:54,This example is about ProductType,contradiction
"Origin: New York, JP",This example is about Origin,entailment
"Origin: Sydney, CN",This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2023-09-20 13:35:18,This example is about TotalPackages,contradiction
Shipment ID: UPS518316795776,This example is about HousebillNumber,entailment
Shipment Status: Exception at 2023-12-04 19:17:31,This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2024-08-24 12:43:32,This example is about TotalPackages,contradiction
Shipment ID: 1Z834056035806,This example is about HousebillNumber,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Package Volume: 0.357 m³,This example is about DateAndTimes,contradiction
Service Type: Economy,This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-11-06 22:15:06,This example is about DateAndTimes,entailment
Number of Packages: 3,This example is about HousebillNumber,contradiction
Shipment Status: Customs clearance at 2023-01-18 07:02:31,This example is about HousebillNumber,contradiction
"Destination: Sydney, CN",This example is about DateAndTimes,contradiction
Service Type: 2nd Day Air,This example is about ProductType,entailment
Shipment ID: UPS284405412576,This example is about HousebillNumber,entailment
"Origin: Dubai, GB",This example is about TotalWeight,contradiction
Number of Packages: 8,This example is about TotalPackages,entailment
Package Volume: 0.493 m³,This example is about TotalVolume,entailment
Shipment Status: Departed facility at 2024-10-05 18:04:26,This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-02-25 22:46:09,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2023-01-06 17:46:54,This example is about Destination,contradiction
"Destination: London, GB",This example is about Destination,entailment
Service Type: Ground,This example is about Origin,contradiction
Service Type: 2nd Day Air,This example is about ProductType,entailment
"Destination: London, IN",This example is about Destination,entailment
Number of Packages: 8,This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2023-07-19 15:38:24,This example is about Origin,contradiction
Package Weight: 64.63 KG,This example is about TotalWeight,entailment
"Destination: Sydney, JP",This example is about Timestamp,contradiction
"Origin: Toronto, AU",This example is about Origin,entailment
Number of Packages: 7,This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2023-01-05 10:59:08,This example is about DateAndTimes,entailment
"Destination: Tokyo, DE",This example is about Destination,entailment
Shipment ID: UPS511346711308,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2024-01-29 14:28:58,This example is about Timestamp,contradiction
Number of Packages: 4,This example is about ProductType,contradiction
Package Volume: 0.507 m³,This example is about TotalWeight,contradiction
Package Weight: 85.47 KG,This example is about TotalWeight,entailment
Number of Packages: 1,This example is about TotalWeight,contradiction
Package Volume: 0.217 m³,This example is about TotalVolume,entailment
Package Volume: 0.625 m³,This example is about TotalVolume,entailment
Package Volume: 0.416 m³,This example is about TotalVolume,entailment
Shipment Status: Picked up at 2023-03-13 23:56:42,This example is about TotalPackages,contradiction
Service Type: Freight,This example is about TotalPackages,contradiction
Package Volume: 0.681 m³,This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-09-28 22:14:25,This example is about DateAndTimes,entailment
Shipment ID: UPS278694151703,This example is about HousebillNumber,entailment
"Origin: Paris, CA",This example is about TotalVolume,contradiction
"Origin: Berlin, DE",This example is about Timestamp,contradiction
Shipment ID: FDX013630698678,This example is about HousebillNumber,entailment
Package Volume: 0.658 m³,This example is about Origin,contradiction
"Destination: Berlin, DE",This example is about Destination,entailment
"Origin: Dubai, FR",This example is about TotalPackages,contradiction
Package Volume: 0.383 m³,This example is about TotalVolume,entailment
Package Volume: 0.489 m³,This example is about DateAndTimes,contradiction
Scheduled DateAndTimes: 2023-07-19 15:38:24,This example is about DateAndTimes,entailment
"Destination: Beijing, CA",This example is about TotalWeight,contradiction
Package Weight: 22.72 KG,This example is about Origin,contradiction
"Destination: Dubai, CA",This example is about Destination,entailment
Package Weight: 57.12 KG,This example is about TotalWeight,entailment
"Destination: Toronto, JP",This example is about ProductType,contradiction
Service Type: Ground,This example is about Origin,contradiction
Package Weight: 88.43 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2023-07-29 06:30:47,This example is about DateAndTimes,entailment
Number of Packages: 9,This example is about Origin,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
Service Type: Ground,This example is about ProductType,entailment
Shipment Status: Out for delivery at 2023-09-11 12:45:57,This example is about TotalVolume,contradiction
Service Type: Freight,This example is about TotalPackages,contradiction
Package Weight: 7.79 KG,This example is about TotalWeight,entailment
Service Type: Standard,This example is about ProductType,entailment
Shipment ID: UPS726199895824,This example is about HousebillNumber,entailment
"Origin: Paris, US",This example is about Origin,entailment
Package Volume: 0.064 m³,This example is about TotalVolume,entailment
Shipment Status: Departed facility at 2023-08-04 16:12:43,This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2023-11-20 19:54:40,This example is about Timestamp,contradiction
"Destination: Mumbai, JP",This example is about Origin,contradiction
"Destination: London, AU",This example is about TotalVolume,contradiction
Package Volume: 0.841 m³,This example is about TotalVolume,entailment
Package Volume: 0.064 m³,This example is about TotalWeight,contradiction
"Origin: Dubai, GB",This example is about DateAndTimes,contradiction
Scheduled DateAndTimes: 2023-03-03 21:20:59,This example is about DateAndTimes,entailment
Package Weight: 83.64 KG,This example is about Timestamp,contradiction
Service Type: Same Day,This example is about ProductType,entailment
Package Weight: 95.68 KG,This example is about Destination,contradiction
Package Weight: 35.94 KG,This example is about HousebillNumber,contradiction
"Destination: Tokyo, GB",This example is about DateAndTimes,contradiction
Shipment ID: DHL607551804955,This example is about HousebillNumber,entailment
Service Type: Ground,This example is about ProductType,entailment
"Origin: Berlin, GB",This example is about Origin,entailment
Scheduled DateAndTimes: 2023-06-05 17:13:37,This example is about Origin,contradiction
Package Volume: 0.301 m³,This example is about Destination,contradiction
Number of Packages: 3,This example is about TotalPackages,entailment
Package Weight: 57.12 KG,This example is about DateAndTimes,contradiction
Number of Packages: 5,This example is about DateAndTimes,contradiction
"Destination: Beijing, US",This example is about Destination,entailment
"Destination: Tokyo, DE",This example is about HousebillNumber,contradiction
Shipment Status: Customs clearance at 2023-06-11 23:00:27,This example is about Timestamp,entailment
"Destination: Dubai, GB",This example is about ProductType,contradiction
Shipment ID: FDX289301975441,This example is about HousebillNumber,entailment
Number of Packages: 5,This example is about TotalWeight,contradiction
Package Volume: 0.122 m³,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2023-09-20 13:35:18,This example is about DateAndTimes,entailment
Package Volume: 0.954 m³,This example is about Timestamp,contradiction
"Destination: London, US",This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2023-04-05 16:05:46,This example is about TotalWeight,contradiction
Service Type: Economy,This example is about Origin,contradiction
"Destination: New York, US",This example is about Destination,entailment
Service Type: Express,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2023-03-16 17:39:31,This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2023-03-01 12:26:27,This example is about Destination,contradiction
Service Type: Express,This example is about ProductType,entailment
Shipment Status: Arrived at facility at 2024-12-04 06:48:52,This example is about Timestamp,entailment
"Destination: Toronto, GB",This example is about HousebillNumber,contradiction
Shipment Status: Picked up at 2024-09-03 07:35:23,This example is about TotalPackages,contradiction
"Origin: Tokyo, CN",This example is about ProductType,contradiction
Service Type: Standard,This example is about TotalVolume,contradiction
"Destination: Sydney, US",This example is about Destination,entailment
Shipment ID: FDX532317419225,This example is about HousebillNumber,entailment
Service Type: Express,This example is about ProductType,entailment
Package Weight: 87.31 KG,This example is about Origin,contradiction
"Destination: New York, CA",This example is about TotalWeight,contradiction
"Origin: Paris, CA",This example is about Origin,entailment
Shipment ID: UPS588067737189,This example is about HousebillNumber,entailment
Package Volume: 0.733 m³,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2024-06-23 03:27:15,This example is about TotalPackages,contradiction
Service Type: Standard,This example is about ProductType,entailment
Scheduled DateAndTimes: 2023-02-04 05:52:28,This example is about TotalVolume,contradiction
Shipment ID: FDX752370578485,This example is about HousebillNumber,entailment
"Destination: Paris, CN",This example is about Destination,entailment
Shipment Status: Departed facility at 2024-01-10 01:27:08,This example is about TotalWeight,contradiction
Number of Packages: 6,This example is about TotalPackages,entailment
"Origin: Berlin, US",This example is about Origin,entailment
Package Weight: 91.96 KG,This example is about TotalWeight,entailment
Package Weight: 91.96 KG,This example is about HousebillNumber,contradiction
"Destination: London, AU",This example is about Origin,contradiction
"Origin: Mumbai, DE",This example is about Origin,entailment
"Origin: New York, AE",This example is about Origin,entailment
Number of Packages: 10,This example is about TotalPackages,entailment
Service Type: Express,This example is about ProductType,entailment
"Origin: Berlin, CA",This example is about Origin,entailment
Scheduled DateAndTimes: 2023-10-12 00:51:28,This example is about DateAndTimes,entailment
"Origin: Beijing, AE",This example is about TotalVolume,contradiction
Number of Packages: 7,This example is about TotalPackages,entailment
Shipment Status: Arrived at facility at 2024-11-17 04:31:30,This example is about ProductType,contradiction
Scheduled DateAndTimes: 2024-08-10 07:02:47,This example is about DateAndTimes,entailment
Number of Packages: 8,This example is about TotalPackages,entailment
"Destination: Berlin, FR",This example is about Destination,entailment
Package Weight: 6.32 KG,This example is about DateAndTimes,contradiction
"Origin: Mumbai, IN",This example is about TotalWeight,contradiction
Package Weight: 29.58 KG,This example is about Destination,contradiction
Scheduled DateAndTimes: 2023-02-18 06:45:30,This example is about DateAndTimes,entailment
Number of Packages: 2,This example is about TotalPackages,entailment
Shipment ID: 1Z893224821199,This example is about HousebillNumber,entailment
